entity_id,sepal_length,sepal_width,petal_length,petal_width,species,feature_timestamp
id_1,5.1,3.5,1.4,0.2,setosa,2025/03/11 12:00:00
id_2,4.9,3,1.4,0.2,setosa,2025/03/11 12:00:00
id_3,4.7,3.2,1.3,0.2,setosa,2025/03/11 12:00:00
id_4,4.6,3.1,1.5,0.2,setosa,2025/03/11 12:00:00
id_5,5,3.6,1.4,0.2,setosa,2025/03/11 12:00:00
id_6,5.4,3.9,1.7,0.4,setosa,2025/03/11 12:00:00
id_7,4.6,3.4,1.4,0.3,setosa,2025/03/11 12:00:00
id_8,5,3.4,1.5,0.2,setosa,2025/03/11 12:00:00
id_9,4.4,2.9,1.4,0.2,setosa,2025/03/11 12:00:00
id_10,4.9,3.1,1.5,0.1,setosa,2025/03/11 12:00:00
id_11,5.4,3.7,1.5,0.2,setosa,2025/03/11 12:00:00
id_12,4.8,3.4,1.6,0.2,setosa,2025/03/11 12:00:00
id_13,4.8,3,1.4,0.1,setosa,2025/03/11 12:00:00
id_14,4.3,3,1.1,0.1,setosa,2025/03/11 12:00:00
id_15,5.8,4,1.2,0.2,setosa,2025/03/11 12:00:00
id_16,5.7,4.4,1.5,0.4,setosa,2025/03/11 12:00:00
id_17,5.4,3.9,1.3,0.4,setosa,2025/03/11 12:00:00
id_18,5.1,3.5,1.4,0.3,setosa,2025/03/11 12:00:00
id_19,5.7,3.8,1.7,0.3,setosa,2025/03/11 12:00:00
id_20,5.1,3.8,1.5,0.3,setosa,2025/03/11 12:00:00
id_21,5.4,3.4,1.7,0.2,setosa,2025/03/11 12:00:00
id_22,5.1,3.7,1.5,0.4,setosa,2025/03/11 12:00:00
id_23,4.6,3.6,1,0.2,setosa,2025/03/11 12:00:00
id_24,5.1,3.3,1.7,0.5,setosa,2025/03/11 12:00:00
id_25,4.8,3.4,1.9,0.2,setosa,2025/03/11 12:00:00
id_26,5,3,1.6,0.2,setosa,2025/03/11 12:00:00
id_27,5,3.4,1.6,0.4,setosa,2025/03/11 12:00:00
id_28,5.2,3.5,1.5,0.2,setosa,2025/03/11 12:00:00
id_29,5.2,3.4,1.4,0.2,setosa,2025/03/11 12:00:00
id_30,4.7,3.2,1.6,0.2,setosa,2025/03/11 12:00:00
id_31,4.8,3.1,1.6,0.2,setosa,2025/03/11 12:00:00
id_32,5.4,3.4,1.5,0.4,setosa,2025/03/11 12:00:00
id_33,5.2,4.1,1.5,0.1,setosa,2025/03/11 12:00:00
id_34,5.5,4.2,1.4,0.2,setosa,2025/03/11 12:00:00
id_35,4.9,3.1,1.5,0.1,setosa,2025/03/11 12:00:00
id_36,5,3.2,1.2,0.2,setosa,2025/03/11 12:00:00
id_37,5.5,3.5,1.3,0.2,setosa,2025/03/11 12:00:00
id_38,4.9,3.1,1.5,0.1,setosa,2025/03/11 12:00:00
id_39,4.4,3,1.3,0.2,setosa,2025/03/11 12:00:00
id_40,5.1,3.4,1.5,0.2,setosa,2025/03/11 12:00:00
id_41,5,3.5,1.3,0.3,setosa,2025/03/11 12:00:00
id_42,4.5,2.3,1.3,0.3,setosa,2025/03/11 12:00:00
id_43,4.4,3.2,1.3,0.2,setosa,2025/03/11 12:00:00
id_44,5,3.5,1.6,0.6,setosa,2025/03/11 12:00:00
id_45,5.1,3.8,1.9,0.4,setosa,2025/03/11 12:00:00
id_46,4.8,3,1.4,0.3,setosa,2025/03/11 12:00:00
id_47,5.1,3.8,1.6,0.2,setosa,2025/03/11 12:00:00
id_48,4.6,3.2,1.4,0.2,setosa,2025/03/11 12:00:00
id_49,5.3,3.7,1.5,0.2,setosa,2025/03/11 12:00:00
id_50,5,3.3,1.4,0.2,setosa,2025/03/11 12:00:00
id_51,7,3.2,4.7,1.4,versicolor,2025/03/11 12:00:00
id_52,6.4,3.2,4.5,1.5,versicolor,2025/03/11 12:00:00
id_53,6.9,3.1,4.9,1.5,versicolor,2025/03/11 12:00:00
id_54,5.5,2.3,4,1.3,versicolor,2025/03/11 12:00:00
id_55,6.5,2.8,4.6,1.5,versicolor,2025/03/11 12:00:00
id_56,5.7,2.8,4.5,1.3,versicolor,2025/03/11 12:00:00
id_57,6.3,3.3,4.7,1.6,versicolor,2025/03/11 12:00:00
id_58,4.9,2.4,3.3,1,versicolor,2025/03/11 12:00:00
id_59,6.6,2.9,4.6,1.3,versicolor,2025/03/11 12:00:00
id_60,5.2,2.7,3.9,1.4,versicolor,2025/03/11 12:00:00
id_61,5,2,3.5,1,versicolor,2025/03/11 12:00:00
id_62,5.9,3,4.2,1.5,versicolor,2025/03/11 12:00:00
id_63,6,2.2,4,1,versicolor,2025/03/11 12:00:00
id_64,6.1,2.9,4.7,1.4,versicolor,2025/03/11 12:00:00
id_65,5.6,2.9,3.6,1.3,versicolor,2025/03/11 12:00:00
id_66,6.7,3.1,4.4,1.4,versicolor,2025/03/11 12:00:00
id_67,5.6,3,4.5,1.5,versicolor,2025/03/11 12:00:00
id_68,5.8,2.7,4.1,1,versicolor,2025/03/11 12:00:00
id_69,6.2,2.2,4.5,1.5,versicolor,2025/03/11 12:00:00
id_70,5.6,2.5,3.9,1.1,versicolor,2025/03/11 12:00:00
id_71,5.9,3.2,4.8,1.8,versicolor,2025/03/11 12:00:00
id_72,6.1,2.8,4,1.3,versicolor,2025/03/11 12:00:00
id_73,6.3,2.5,4.9,1.5,versicolor,2025/03/11 12:00:00
id_74,6.1,2.8,4.7,1.2,versicolor,2025/03/11 12:00:00
id_75,6.4,2.9,4.3,1.3,versicolor,2025/03/11 12:00:00
id_76,6.6,3,4.4,1.4,versicolor,2025/03/11 12:00:00
id_77,6.8,2.8,4.8,1.4,versicolor,2025/03/11 12:00:00
id_78,6.7,3,5,1.7,versicolor,2025/03/11 12:00:00
id_79,6,2.9,4.5,1.5,versicolor,2025/03/11 12:00:00
id_80,5.7,2.6,3.5,1,versicolor,2025/03/11 12:00:00
id_81,5.5,2.4,3.8,1.1,versicolor,2025/03/11 12:00:00
id_82,5.5,2.4,3.7,1,versicolor,2025/03/11 12:00:00
id_83,5.8,2.7,3.9,1.2,versicolor,2025/03/11 12:00:00
id_84,6,2.7,5.1,1.6,versicolor,2025/03/11 12:00:00
id_85,5.4,3,4.5,1.5,versicolor,2025/03/11 12:00:00
id_86,6,3.4,4.5,1.6,versicolor,2025/03/11 12:00:00
id_87,6.7,3.1,4.7,1.5,versicolor,2025/03/11 12:00:00
id_88,6.3,2.3,4.4,1.3,versicolor,2025/03/11 12:00:00
id_89,5.6,3,4.1,1.3,versicolor,2025/03/11 12:00:00
id_90,5.5,2.5,4,1.3,versicolor,2025/03/11 12:00:00
id_91,5.5,2.6,4.4,1.2,versicolor,2025/03/11 12:00:00
id_92,6.1,3,4.6,1.4,versicolor,2025/03/11 12:00:00
id_93,5.8,2.6,4,1.2,versicolor,2025/03/11 12:00:00
id_94,5,2.3,3.3,1,versicolor,2025/03/11 12:00:00
id_95,5.6,2.7,4.2,1.3,versicolor,2025/03/11 12:00:00
id_96,5.7,3,4.2,1.2,versicolor,2025/03/11 12:00:00
id_97,5.7,2.9,4.2,1.3,versicolor,2025/03/11 12:00:00
id_98,6.2,2.9,4.3,1.3,versicolor,2025/03/11 12:00:00
id_99,5.1,2.5,3,1.1,versicolor,2025/03/11 12:00:00
id_100,5.7,2.8,4.1,1.3,versicolor,2025/03/11 12:00:00
id_101,6.3,3.3,6,2.5,virginica,2025/03/11 12:00:00
